subject,body,urls,label
Report Attached,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please see the attached document and review the proposed changes before the end of the week. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Please see the attached document and review the proposed changes before the end of the week. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please see the attached document and review the proposed changes before the end of the week. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Client Feedback Summary,Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective.,0,0
Verify Billing Information,You have been specially selected for an exclusive offer; click to finalize your acceptance. Failure to respond within the specified timeframe may result in temporary suspension of your account. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$131 at Unknown Merchant. http://malicious.example/3534,1,1
Invoice Details,"This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please see the attached document and review the proposed changes before the end of the week. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Reset Your Password Immediately,You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$329 at Subscription Service. http://malicious.example/7161,1,1
Client Call Reminder,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please see the attached document and review the proposed changes before the end of the week. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please check the attached files for more details and add your comments to the shared document by EOD.",1,0
Confirm Your Email,"Claim your reward now by providing your details; limited slots are available and verification is required. To receive your package or prize, provide confirmation with valid personal details on the linked form. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$212 at Online Store. http://malicious.example/4660",1,1
Exclusive Offer: Limited Time Reward,"Your payment could not be processed; update your billing information to avoid service interruption. Failure to respond within the specified timeframe may result in temporary suspension of your account. To receive your package or prize, provide confirmation with valid personal details on the linked form. Security alert: please reset your credentials immediately to prevent data exposure. Unauthorized login attempts were detected; verify your identity to prevent further access. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3999 http://malicious.example/9142",2,1
Project Milestones Update,"Please see the attached document and review the proposed changes before the end of the week. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. This message contains important information about the upcoming schedule and deliverables for our project.",0,0
Action Required: Account Suspended,Failure to respond within the specified timeframe may result in temporary suspension of your account. We detected unusual activity and require you to verify your recent transactions via the secure portal. Unauthorized login attempts were detected; verify your identity to prevent further access. Claim your reward now by providing your details; limited slots are available and verification is required. Claim your reward now by providing your details; limited slots are available and verification is required. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$166 at Unknown Merchant. http://malicious.example/9385,1,1
Monthly Newsletter,We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Please see the attached document and review the proposed changes before the end of the week. Please see the attached document and review the proposed changes before the end of the week. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary.,0,0
Project Update,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please see the attached document and review the proposed changes before the end of the week. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. This message contains important information about the upcoming schedule and deliverables for our project. Please check the attached files for more details and add your comments to the shared document by EOD.",1,0
Training Session Invitation,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Action Required: Account Suspended,Claim your reward now by providing your details; limited slots are available and verification is required. An important document requires your confirmation; access it through the link provided to avoid penalties. Click the link below to immediately secure your account and confirm your identity within 24 hours. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2665,1,1
Project Update,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Project Milestones Update,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Office Maintenance Notice,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Immediate Action Required: Account Suspension,"To receive your package or prize, provide confirmation with valid personal details on the linked form. Failure to respond within the specified timeframe may result in temporary suspension of your account. Failure to respond within the specified timeframe may result in temporary suspension of your account. To receive your package or prize, provide confirmation with valid personal details on the linked form. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2502",1,1
Verify Your Identity Now,Security alert: please reset your credentials immediately to prevent data exposure. An important document requires your confirmation; access it through the link provided to avoid penalties. We detected unusual activity and require you to verify your recent transactions via the secure portal. Click the link below to immediately secure your account and confirm your identity within 24 hours. An important document requires your confirmation; access it through the link provided to avoid penalties. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8334,1,1
Unauthorized Access Attempt Detected,Failure to respond within the specified timeframe may result in temporary suspension of your account. Your payment could not be processed; update your billing information to avoid service interruption. We detected unusual activity and require you to verify your recent transactions via the secure portal. Your payment could not be processed; update your billing information to avoid service interruption. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8411 http://malicious.example/3691 http://malicious.example/1440,3,1
Unusual Login Detected,An important document requires your confirmation; access it through the link provided to avoid penalties. An important document requires your confirmation; access it through the link provided to avoid penalties. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$234 at Unknown Merchant. http://malicious.example/8387 http://malicious.example/3639,2,1
Holiday Schedule,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Team Meeting Tomorrow,"Please see the attached document and review the proposed changes before the end of the week. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Security Alert: Account Compromised,An important document requires your confirmation; access it through the link provided to avoid penalties. Click the link below to immediately secure your account and confirm your identity within 24 hours. Claim your reward now by providing your details; limited slots are available and verification is required. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8522 http://malicious.example/1746 http://malicious.example/9379,3,1
Team Meeting Tomorrow,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary.",0,0
Policy Update Notification,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. This message contains important information about the upcoming schedule and deliverables for our project. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Performance Summary,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. This message contains important information about the upcoming schedule and deliverables for our project. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please see the attached document and review the proposed changes before the end of the week. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Weekly Report,"We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please see the attached document and review the proposed changes before the end of the week. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Monthly Newsletter,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The vendor provided the requested materials and timelines; please comment if there are any discrepancies.",1,0
Unauthorized Access Attempt Detected,"You have been specially selected for an exclusive offer; click to finalize your acceptance. An important document requires your confirmation; access it through the link provided to avoid penalties. To receive your package or prize, provide confirmation with valid personal details on the linked form. We detected unusual activity and require you to verify your recent transactions via the secure portal. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9244 http://malicious.example/4453",2,1
You Won a Prize!,Claim your reward now by providing your details; limited slots are available and verification is required. Claim your reward now by providing your details; limited slots are available and verification is required. Security alert: please reset your credentials immediately to prevent data exposure. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3996 http://malicious.example/2468,2,1
Claim Your Gift Card,"Unauthorized login attempts were detected; verify your identity to prevent further access. To receive your package or prize, provide confirmation with valid personal details on the linked form. Claim your reward now by providing your details; limited slots are available and verification is required. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$331 at Subscription Service. http://malicious.example/5876",1,1
Project Milestones Update,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please see the attached document and review the proposed changes before the end of the week.",0,0
Monthly Newsletter,"We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. For questions, reach out to the project lead or reply to this email and someone will assist you.",1,0
Verify Billing Information,Unauthorized login attempts were detected; verify your identity to prevent further access. Click the link below to immediately secure your account and confirm your identity within 24 hours. Your payment could not be processed; update your billing information to avoid service interruption. Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8481 http://malicious.example/5153,2,1
Project Update,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please see the attached document and review the proposed changes before the end of the week. Please see the attached document and review the proposed changes before the end of the week. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document.",0,0
Holiday Schedule,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please see the attached document and review the proposed changes before the end of the week. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
